time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
0,risk_neutral,0.8502293721837171,0.6359754681468671,3838.0952421857282,0.5406376636825216
0,risk_averse,0.8701240622308487,0.5790603676242045,5590.483605803974,0.6313365079870157
0,risk_loving,0.12486922687328926,0.9528852284531157,2393.855448579047,0.37051097782785763
1,risk_neutral,0.9070119763827267,0.6010278125773485,3841.0085614937075,0.5689642338377919
1,risk_averse,0.9236811408587651,0.5422325410981096,5573.412219701056,0.6663043441341346
1,risk_loving,0.10663550268032423,0.9549291945385804,2382.143791091922,0.408397689225591
2,risk_neutral,0.9423108422910759,0.575685499191697,3933.401911802666,0.5926694099331283
2,risk_averse,0.9366229813070408,0.5282360671521675,5602.950775389215,0.684526227713606
2,risk_loving,0.1370015664857789,0.9414083571498199,2445.3092137470862,0.4363176368311729
3,risk_neutral,0.9173229909859312,0.57114095296322,3917.781871395036,0.6185611902820217
3,risk_averse,0.9334682007577401,0.5211435389825243,5521.026336720413,0.7009083653375896
3,risk_loving,0.10426901876188199,0.9517477127705852,2467.561347478495,0.4697570482295758
4,risk_neutral,0.9059093910643458,0.5592989598902971,3903.97578821778,0.6483865329864815
4,risk_averse,0.9406998874291498,0.5045505800063412,5708.090992489141,0.7288767310397867
4,risk_loving,0.11953365661837523,0.9448803182267356,2515.5959332926454,0.5058725215482903
5,risk_neutral,0.9293765811231656,0.5379436679664962,3985.234155051875,0.6724997660492233
5,risk_averse,0.9397873461858395,0.4980904434139297,5626.988651573766,0.7426054362424966
5,risk_loving,0.11126902625583517,0.9409664636801066,2535.2609888436264,0.5446948363652051
6,risk_neutral,0.9062856492582431,0.5367457015723822,3989.3986908643064,0.6923371455006547
6,risk_averse,0.9376195435816778,0.49209982702792693,5647.275022469321,0.7566351025272877
6,risk_loving,0.10367876228949668,0.9419543797893252,2563.5458239661643,0.5790591230983151
7,risk_neutral,0.9170341909091684,0.5214123992979552,3990.8801155016554,0.7145647347254415
7,risk_averse,0.9346617522846525,0.4872463076117363,5693.588600219826,0.7696804873807996
7,risk_loving,0.10396333029204129,0.9383909631862285,2570.129982096494,0.6011475499937275
8,risk_neutral,0.9395644649140311,0.5046471577718745,3958.7514873087566,0.7311959724083787
8,risk_averse,0.9298991576042869,0.48351737161147706,5681.723251740644,0.781906737465205
8,risk_loving,0.10902696732572041,0.9297757253281701,2597.9238045334273,0.643822578935642
9,risk_neutral,0.9113968933079486,0.510119660205196,4036.178567129796,0.7424730663550686
9,risk_averse,0.9329901584552529,0.4780149190755554,5697.282280910065,0.7916559410815533
9,risk_loving,0.08170221741136696,0.9469860888896041,2600.704798434713,0.6748350020353407
10,risk_neutral,0.9200259566654039,0.5026321716220379,4060.450093551973,0.7501771481093299
10,risk_averse,0.939475866427817,0.47352777315771644,5697.398210526237,0.7961885647511879
10,risk_loving,0.08335665554131143,0.9423373208618268,2631.8206013317017,0.7146560172288056
11,risk_neutral,0.9179681254341077,0.5028543784201273,4068.401084939199,0.7506016817271157
11,risk_averse,0.9419057668621948,0.4694878839399428,5704.085476787987,0.8032883037402248
11,risk_loving,0.1313079045237333,0.9085745548729278,2684.229344547054,0.7444943592712403
12,risk_neutral,0.9199574307586471,0.4979671604047755,3930.9550279079144,0.7590588384124537
12,risk_averse,0.9380622533340133,0.4680721006228457,5707.436705779374,0.8100140137938101
12,risk_loving,0.08866890105868824,0.9321283425745998,2742.022529020567,0.787027547437908
13,risk_neutral,0.9332946154877197,0.4922515096973632,4066.353314500588,0.7606193290066803
13,risk_averse,0.9256111030994982,0.47166704755903577,5742.798420356372,0.8127424021565492
13,risk_loving,0.10883382757980319,0.914394787552455,2703.9911264758903,0.8105191501388993
14,risk_neutral,0.9404546080890681,0.4811075481706719,3977.9405980253578,0.7788595352122116
14,risk_averse,0.9483601124469142,0.4628398033642569,5708.216256552557,0.8132994925885868
14,risk_loving,0.13880402847634227,0.8949565615397951,2767.2665330365767,0.8261662588916567
15,risk_neutral,0.9242266975318033,0.4837850222723823,3996.685692320442,0.7869113014737317
15,risk_averse,0.9376160812769166,0.46444209595339864,5655.857911384663,0.819394967817777
15,risk_loving,0.09249663339239357,0.9253973297045387,2699.6426711755716,0.8482911183603825
16,risk_neutral,0.9193796053245601,0.48415567460712183,3989.5974820890915,0.7899760536568883
16,risk_averse,0.9398684541097094,0.4594894471128705,5681.603388037264,0.8279625195198274
16,risk_loving,0.14143830529984666,0.8898633436348061,2785.7674719942847,0.8579852279654984
17,risk_neutral,0.9388849069053925,0.47075922947086635,4105.5020308823,0.8029771931748475
17,risk_averse,0.943523686414776,0.4575952804170189,5810.474607822009,0.8292778260413984
17,risk_loving,0.11228185461029727,0.906992241896996,2762.6399481234316,0.8693445578340846
18,risk_neutral,0.9374864631799021,0.4672988308032174,4040.5013472209102,0.8122781046101036
18,risk_averse,0.9378276898750304,0.4567220610483902,5673.321374549893,0.8363216566258055
18,risk_loving,0.11240753619873278,0.9078957709804648,2725.667868671973,0.8789323689770544
19,risk_neutral,0.9411581973210894,0.46542024169289004,4131.466937469681,0.813049217177574
19,risk_averse,0.9365663800657895,0.4566294799338173,5681.939720854743,0.8376095489114733
19,risk_loving,0.12376169437724059,0.8975587779916915,2749.13652371096,0.8872086999980869
