time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
0,risk_neutral,0.8541379048033011,0.6566391042823947,3806.737961181197,0.4991924781140174
0,risk_averse,0.8753678663046115,0.5680652981160644,5626.5018895571475,0.6500239695349226
0,risk_loving,0.14113913394765076,0.9474863732916544,2342.2204465638283,0.3834484407595654
1,risk_neutral,0.9238309523109086,0.6153253645479373,3866.6279117784493,0.5317907781908071
1,risk_averse,0.9241748290374701,0.5363109345481213,5661.045644704807,0.6782864275310964
1,risk_loving,0.13386266641951602,0.9458470988697567,2362.9820548078915,0.40992696078697693
2,risk_neutral,0.9231034816973251,0.59913986967226,3925.124595725557,0.5596882040372606
2,risk_averse,0.9339772347155616,0.5222367478659394,5666.7070911332285,0.6987814604137673
2,risk_loving,0.16051011736910709,0.9317277369673596,2374.2405293186375,0.4458261493455972
3,risk_neutral,0.938680669608889,0.5770722141185257,3941.1858245416706,0.5898107724778889
3,risk_averse,0.934162190133676,0.5121138738310308,5706.715109949753,0.7193173362098516
3,risk_loving,0.11749460855778852,0.945489025733379,2361.2834054054556,0.47312096454402547
4,risk_neutral,0.9333694835345584,0.5671129653617458,3931.8808705278047,0.6113692877302286
4,risk_averse,0.9306601607586571,0.5059470752728926,5693.729536042798,0.7347615349339551
4,risk_loving,0.10800640305724876,0.9469344090007237,2435.638778364037,0.5117567910625425
5,risk_neutral,0.9306115166669826,0.5520191145510857,3912.006938423742,0.6426288830740992
5,risk_averse,0.9366279207276715,0.4992918603448384,5733.098586123708,0.7438253820460541
5,risk_loving,0.10514874576187845,0.9467856498662327,2441.1952157718033,0.5355469288363711
6,risk_neutral,0.9290410526362642,0.532145899055161,3989.089354278367,0.6827574404502942
6,risk_averse,0.9370709405385356,0.49331452791169234,5734.076678851352,0.7560124329692065
6,risk_loving,0.10633206317131476,0.9424469157558726,2484.553935173924,0.5679359154256558
7,risk_neutral,0.928136992548815,0.5223850521337681,4043.867130089955,0.7028092318579233
7,risk_averse,0.9387169309972526,0.487121456737124,5774.0932299024835,0.7679792949196954
7,risk_loving,0.10939293118561907,0.9370096106356289,2491.1597735998344,0.5977808536827596
8,risk_neutral,0.9264300222157775,0.5170163229756579,4003.7560264867025,0.7153345716358098
8,risk_averse,0.9382473406381109,0.4845660266696673,5736.350830848123,0.7737123926990034
8,risk_loving,0.10405065695764389,0.9376682291977929,2490.9391776255434,0.6290871656761575
9,risk_neutral,0.9207830570643306,0.5056139603300247,4008.429061104426,0.7430469106412382
9,risk_averse,0.9347594059033942,0.48488525081671463,5763.1325156226085,0.7757500043165346
9,risk_loving,0.09768859564114857,0.9364951864875211,2511.6897888431654,0.6670314671881669
10,risk_neutral,0.927633693899289,0.4937091257195223,4018.19364649314,0.7625242813195082
10,risk_averse,0.9373812410384393,0.4820673811715579,5773.4161963982715,0.779578679399264
10,risk_loving,0.09413414223260681,0.93707403281221,2605.274762947261,0.6941880727217467
11,risk_neutral,0.9342599066826806,0.4868953820919802,4036.005136454718,0.7718257578259463
11,risk_averse,0.9410617569799382,0.48041054479728884,5754.856103545695,0.7801006837560821
11,risk_loving,0.11543015936329093,0.9231220709027813,2544.7380456956475,0.7170489728799704
12,risk_neutral,0.9216981591797259,0.49000098810011405,4060.7996302098036,0.7752301234784769
12,risk_averse,0.9335471692062017,0.48070191138997254,5721.051596634395,0.7856759179118391
12,risk_loving,0.10693416442249434,0.924818218114208,2608.17122494493,0.7462771039314061
13,risk_neutral,0.9290156953598023,0.4814831643059267,4040.6493565611972,0.7878542047667186
13,risk_averse,0.9383687769937119,0.4742583597781975,5756.88200037909,0.7959139460651588
13,risk_loving,0.14481739270531044,0.8961858427751089,2636.136097325057,0.7659807074253
14,risk_neutral,0.9323561138552151,0.47542646109573494,4083.927426077593,0.7984224155635096
14,risk_averse,0.9377551885504761,0.4728320084307557,5770.916261566249,0.7998863914598787
14,risk_loving,0.11699153251909364,0.9143235730684065,2669.980154020291,0.7828332891240973
15,risk_neutral,0.9327619080942519,0.4736470340879639,4086.8067767912726,0.8019702191796225
15,risk_averse,0.9339832827732185,0.473655029177129,5738.38083906469,0.801400428163925
15,risk_loving,0.1183418046474471,0.9110662321302361,2636.5742865141287,0.806920880332847
16,risk_neutral,0.921027317931037,0.4759279809531908,4037.3169619313458,0.807111091493305
16,risk_averse,0.9375637680548022,0.46970654974951637,5790.792478821882,0.8071240950315953
16,risk_loving,0.12449616952007132,0.9040776570594105,2705.49399961054,0.8273826632243486
17,risk_neutral,0.9222912357066342,0.47908566537992525,4062.0767460024827,0.7990476191620152
17,risk_averse,0.9326636570004412,0.4721290800991483,5803.22969730774,0.8060117363862641
17,risk_loving,0.09089106454937217,0.9272866685782344,2689.2557973365642,0.8448729805425053
18,risk_neutral,0.9237506322138087,0.4750109002077094,4080.7558987248476,0.8067133720815474
18,risk_averse,0.9373845766835632,0.4690326667783427,5794.082655008148,0.8087782523557859
18,risk_loving,0.13226901578680292,0.8934950332827519,2707.4846175181365,0.8606672565689856
19,risk_neutral,0.9276796444422262,0.46942129084586764,4079.5173167296134,0.8158276897763977
19,risk_averse,0.9359104635373722,0.46780760641558855,5809.98090842993,0.8127876267096291
19,risk_loving,0.14783017681399804,0.8818308940321579,2759.475400683668,0.8723619952451017
20,risk_neutral,0.935841552312365,0.46732048929505243,4098.939415125082,0.8141295673759871
20,risk_averse,0.9344893747078739,0.467759372694621,5789.270400760161,0.8142236903048953
20,risk_loving,0.11896247122488848,0.9019178453463089,2657.005477583752,0.880304038565132
21,risk_neutral,0.9350573654012975,0.4673958914129496,4085.3772290964466,0.8148262884215696
21,risk_averse,0.9341856032498806,0.46548856721677645,5765.09692734118,0.8197210158993169
21,risk_loving,0.16011135818340294,0.870820270714454,2686.3174659991755,0.8835310973264088
22,risk_neutral,0.9222787552363869,0.46775587619571296,4111.780591362264,0.8253453874553053
22,risk_averse,0.9367255661802802,0.464192666316524,5802.378731430622,0.8206695340867519
22,risk_loving,0.15419210515185022,0.8743790473554581,2741.254957622249,0.8896005589066893
23,risk_neutral,0.9288016965193677,0.46349511078032657,4036.932895310811,0.8292342665152024
23,risk_averse,0.9340239674255534,0.4673579839726811,5795.348722950234,0.8156723278950071
23,risk_loving,0.13633609345822964,0.8879202240075788,2736.581996786518,0.8927084028061829
24,risk_neutral,0.9309104861540719,0.4614250287381004,4075.5481094719826,0.831904151506546
24,risk_averse,0.9358821672598469,0.4642038223109477,5781.744546066035,0.8211802846838658
24,risk_loving,0.14790940822725174,0.8778283265658114,2753.207116300794,0.8944485517482681
25,risk_neutral,0.9301109844621047,0.4604356338778059,4062.6647587935668,0.8352708095886555
25,risk_averse,0.932489349369637,0.4635490874076624,5800.912755454191,0.825427801171256
25,risk_loving,0.12945769516538808,0.8926019231005684,2713.6164894833737,0.8939279276935375
26,risk_neutral,0.9171073382834892,0.4621843040847461,4137.656592698897,0.8429868636181037
26,risk_averse,0.9352777680615788,0.4619166854832689,5812.451437273097,0.8269057644930234
26,risk_loving,0.12072439002030251,0.899704488052077,2671.4908368281635,0.8944946538859202
27,risk_neutral,0.9266363124127531,0.4571502054868395,4073.971756029898,0.8460083067794937
27,risk_averse,0.9416573530327359,0.4585548289701679,5782.2363816392035,0.8290968191065529
27,risk_loving,0.11187961389414469,0.9068309645908071,2757.7357842370748,0.8937745998461702
28,risk_neutral,0.936867453635155,0.4540768296351567,4089.4780176010163,0.84381247545471
28,risk_averse,0.9334499468681084,0.4621912442709541,5802.897603020424,0.8280783821139501
28,risk_loving,0.10182373574713939,0.9142645811709776,2716.0238485411614,0.8929249007270442
29,risk_neutral,0.9259321064957649,0.45780393775755107,4118.34467307998,0.844955508828115
29,risk_averse,0.9397084227841623,0.4596553497871563,5809.040927206378,0.8283764916075008
29,risk_loving,0.12742427299808246,0.8952586581925134,2673.335549564893,0.8954164332811618
30,risk_neutral,0.9313498923704246,0.45441288094660753,4094.9994214225408,0.8476106564648243
30,risk_averse,0.9368230984984487,0.4591561031882053,5790.369919318711,0.8319791710656828
30,risk_loving,0.14022820045447104,0.8847741795941466,2703.9213940849627,0.897148973049592
31,risk_neutral,0.9132275201568222,0.46503085131176486,4052.280859137348,0.8394438631867678
31,risk_averse,0.9362742617004262,0.4603366381734134,5794.270196235329,0.8298683896791004
31,risk_loving,0.15500899084216596,0.8731202256668679,2712.7326359409863,0.8963582787156612
32,risk_neutral,0.9199640026095279,0.46328802332371366,4087.530417384297,0.8371311652491574
32,risk_averse,0.936997733615848,0.45842184836198097,5802.716697544861,0.8336475465665129
32,risk_loving,0.16483384877194576,0.8662612958273137,2752.9256259320036,0.8971818489179795
33,risk_neutral,0.9062043398061148,0.4674424366228491,4115.732150095394,0.8401445741131142
33,risk_averse,0.9333018421086542,0.4609704753279457,5768.541269757682,0.831085826563574
33,risk_loving,0.14798197763603854,0.8787469411357227,2734.299972537733,0.8981112127361566
34,risk_neutral,0.9265669574648323,0.4566123937753491,4120.905201555356,0.847071296653889
34,risk_averse,0.9333228845598058,0.460653776256221,5783.752892548514,0.8316880997143831
34,risk_loving,0.14025099046790654,0.8837620251438961,2731.697124345057,0.8986078261009979
35,risk_neutral,0.9381328269729566,0.45172238724848857,4132.62730753369,0.8480462056264502
35,risk_averse,0.9325183909732062,0.4606734261827868,5787.769527835641,0.8324324001710385
35,risk_loving,0.13100025539683097,0.8907319130576419,2746.560114820651,0.899785050257416
