time_step,risk_type,mean_alpha,mean_contamination,mean_cost,mean_technology
0,risk_neutral,0.9420228722222292,0.42837139226867127,4131.30646893797,0.8999999999999998
0,risk_averse,0.9499999999999998,0.42528319108227414,5924.784045360955,0.8999999999999998
0,risk_loving,0.45673416367835146,0.7058573431905939,3134.1931968842296,0.7485206548174154
1,risk_neutral,0.9427109862321205,0.4281062268629746,4130.2544964646695,0.8999999999999998
1,risk_averse,0.9499999999999998,0.42528319108227414,5925.253734968391,0.8999999999999998
1,risk_loving,0.4658864509042283,0.6799702759976612,3174.0604812598976,0.8222150649643214
2,risk_neutral,0.938329534792928,0.4298107987616029,4162.947819651488,0.8999999999999998
2,risk_averse,0.9499999999999998,0.42528319108227414,5930.620264317035,0.8999999999999998
2,risk_loving,0.505378203482098,0.6483390663642964,3228.2673992943014,0.8568967093256695
3,risk_neutral,0.9373043225003291,0.43022297353195427,4176.691413293449,0.8999999999999998
3,risk_averse,0.9499999999999998,0.42528319108227414,5839.692285446681,0.8999999999999998
3,risk_loving,0.5331504861651956,0.6286971009493729,3263.3686991366294,0.876612112466235
4,risk_neutral,0.9448961099852443,0.427250082381593,4134.329312449525,0.8999999999999998
4,risk_averse,0.9499999999999998,0.42528319108227414,5915.530301323193,0.8999999999999998
4,risk_loving,0.4891817128017742,0.6526833336726398,3250.067523772724,0.879856021420708
5,risk_neutral,0.9363208429229243,0.43060418545131496,4153.67601277278,0.8999999999999998
5,risk_averse,0.9499999999999998,0.42528319108227414,5910.268792683582,0.8999999999999998
5,risk_loving,0.491590714202034,0.6508426789646419,3257.3225900380285,0.8846179490624222
6,risk_neutral,0.942682934223303,0.4281291831407449,4148.401380596618,0.8999999999999998
6,risk_averse,0.9499999999999998,0.42528319108227414,5901.612724257769,0.8999999999999998
6,risk_loving,0.33268108793690776,0.7527469337148553,3132.8470059387782,0.888662113630094
7,risk_neutral,0.9299412822586847,0.43308519990217836,4136.817794698487,0.8999999999999998
7,risk_averse,0.9499999999999998,0.42528319108227414,5845.166013615667,0.8999999999999998
7,risk_loving,0.26656778862167,0.7969768286412372,3132.1721373715795,0.8941699736052506
8,risk_neutral,0.939210872511271,0.4294749535143801,4189.80832308173,0.8999999999999998
8,risk_averse,0.9499999999999998,0.42528319108227414,5871.61016428885,0.8999999999999998
8,risk_loving,0.25015353579397115,0.8098120140531294,3096.2548165592398,0.897645575435897
9,risk_neutral,0.9415437823579189,0.42856291147127823,4128.419805849535,0.8999999999999998
9,risk_averse,0.9499999999999998,0.42528319108227414,5863.133745295198,0.8999999999999998
9,risk_loving,0.21781826315463934,0.8322841406717901,3130.264449748145,0.8985072352015597
10,risk_neutral,0.9447670788381337,0.4273031123563816,4158.552695050577,0.8999999999999998
10,risk_averse,0.9499999999999998,0.42528319108227414,5939.474376107322,0.8999999999999998
10,risk_loving,0.23198792858604383,0.8220470539092063,3122.713547692094,0.8992945714349337
11,risk_neutral,0.9464372114629306,0.42665794545983377,4093.8049731308847,0.8999999999999998
